DEBUG: | 0x0 - di | tick : 0x1 -> r0 : 0x0 | r1 : 0x0 | r2 : 0x0 | r3 : 0x0 | r4 : 0x0 | r5 : 0x0 | r6 : 0x0 | r7 : 0x0 | sp : 0x0 | raddr : 0x0 | zf : 1 | nf : 0 |
DEBUG: | 0x1 - la 5, 28 | tick : 0x2 -> r0 : 0x0 | r1 : 0x0 | r2 : 0x0 | r3 : 0x0 | r4 : 0x0 | r5 : 0x0 | r6 : 0x0 | r7 : 0x0 | sp : 0x0 | raddr : 0x0 | zf : 0 | nf : 0 |
DEBUG: | 0x1 - la 5, 28 | tick : 0x3 -> r0 : 0x0 | r1 : 0x0 | r2 : 0x0 | r3 : 0x0 | r4 : 0x0 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0x0 | raddr : 0x0 | zf : 0 | nf : 0 |
DEBUG: | 0x2 - la 1, 4 | tick : 0x4 -> r0 : 0x0 | r1 : 0x0 | r2 : 0x0 | r3 : 0x0 | r4 : 0x0 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0x0 | raddr : 0x0 | zf : 0 | nf : 0 |
DEBUG: | 0x2 - la 1, 4 | tick : 0x5 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x0 | r4 : 0x0 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0x0 | raddr : 0x0 | zf : 0 | nf : 0 |
DEBUG: | 0x3 - call 20 | tick : 0x6 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x0 | r4 : 0x0 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0x0 | raddr : 0x0 | zf : 0 | nf : 1 |
DEBUG: | 0x3 - call 20 | tick : 0x7 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x0 | r4 : 0x0 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffffc | raddr : 0xffc | zf : 0 | nf : 1 |
DEBUG: | 0x3 - call 20 | tick : 0x8 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x0 | r4 : 0x0 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffffc | raddr : 0xffc | zf : 0 | nf : 0 |
DEBUG: | 0x3 - call 20 | tick : 0x9 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x0 | r4 : 0x0 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffffc | raddr : 0xffc | zf : 0 | nf : 0 |
DEBUG: | 0x14 - push 3 | tick : 0xa -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x0 | r4 : 0x0 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffffc | raddr : 0xffc | zf : 0 | nf : 1 |
DEBUG: | 0x14 - push 3 | tick : 0xb -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x0 | r4 : 0x0 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff8 | raddr : 0xff8 | zf : 0 | nf : 1 |
DEBUG: | 0x14 - push 3 | tick : 0xc -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x0 | r4 : 0x0 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff8 | raddr : 0xff8 | zf : 1 | nf : 0 |
DEBUG: | 0x14 - push 3 | tick : 0xd -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x0 | r4 : 0x0 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff8 | raddr : 0xff8 | zf : 1 | nf : 0 |
DEBUG: | 0x15 - push 4 | tick : 0xe -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x0 | r4 : 0x0 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff8 | raddr : 0xff8 | zf : 0 | nf : 1 |
DEBUG: | 0x15 - push 4 | tick : 0xf -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x0 | r4 : 0x0 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0xff4 | zf : 0 | nf : 1 |
DEBUG: | 0x15 - push 4 | tick : 0x10 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x0 | r4 : 0x0 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0xff4 | zf : 1 | nf : 0 |
DEBUG: | 0x15 - push 4 | tick : 0x11 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x0 | r4 : 0x0 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0xff4 | zf : 1 | nf : 0 |
DEBUG: | 0x16 - mov 3, 1 | tick : 0x12 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x0 | r4 : 0x0 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0xff4 | zf : 0 | nf : 0 |
DEBUG: | 0x16 - mov 3, 1 | tick : 0x13 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x4 | r4 : 0x0 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0xff4 | zf : 0 | nf : 0 |
DEBUG: | 0x17 - lbi 4, 3 | tick : 0x14 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x4 | r4 : 0x0 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0xff4 | zf : 0 | nf : 0 |
DEBUG: | 0x17 - lbi 4, 3 | tick : 0x15 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x4 | r4 : 0x0 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x4 | zf : 0 | nf : 0 |
DEBUG: | 0x17 - lbi 4, 3 | tick : 0x16 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x4 | r4 : 0x45 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x4 | zf : 0 | nf : 0 |
DEBUG: | 0x18 - test 4, 4 | tick : 0x17 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x4 | r4 : 0x45 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x4 | zf : 0 | nf : 0 |
DEBUG: | 0x19 - be 29 | tick : 0x18 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x4 | r4 : 0x45 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x4 | zf : 0 | nf : 0 |
DEBUG: | 0x1a - out 0, 4 | tick : 0x19 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x4 | r4 : 0x45 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x4 | zf : 0 | nf : 0 |
DEBUG: | 0x1a - out 0, 4 | tick : 0x1a -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x4 | r4 : 0x45 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x4 | zf : 0 | nf : 0 |
DEBUG: | 0x1b - inc 3 | tick : 0x1b -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x4 | r4 : 0x45 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x4 | zf : 0 | nf : 0 |
DEBUG: | 0x1b - inc 3 | tick : 0x1c -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x5 | r4 : 0x45 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x4 | zf : 0 | nf : 0 |
DEBUG: | 0x1c - jmp 23 | tick : 0x1d -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x5 | r4 : 0x45 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x4 | zf : 0 | nf : 0 |
DEBUG: | 0x17 - lbi 4, 3 | tick : 0x1e -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x5 | r4 : 0x45 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x4 | zf : 0 | nf : 0 |
DEBUG: | 0x17 - lbi 4, 3 | tick : 0x1f -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x5 | r4 : 0x45 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x5 | zf : 0 | nf : 0 |
DEBUG: | 0x17 - lbi 4, 3 | tick : 0x20 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x5 | r4 : 0x6e | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x5 | zf : 0 | nf : 0 |
